0: (0.000000, 0.000000)
1: (0.186192, 0.060497)
2: (0.618034, 0.449028)
3: (0.969175, 1.333955)
4: (0.854102, 2.628656)
5: (0.000000, 4.000000)
6: (-1.618034, 4.979797)
7: (-3.733107, 5.138181)
8: (-5.854102, 4.253254)
9: (-7.422260, 2.411638)
10: (-8.000000, 0.000000)
11: (-7.422260, -2.411638)
12: (-5.854102, -4.253254)
13: (-3.733107, -5.138181)
14: (-1.618034, -4.979797)
15: (-0.000000, -4.000000)
16: (0.854102, -2.628656)
17: (0.969175, -1.333955)
18: (0.618034, -0.449028)
19: (0.186192, -0.060497)
