0: (4.000000, 0.000000)
1: (3.992107, 0.251162)
2: (3.968459, 0.501333)
3: (3.929149, 0.749525)
4: (3.874333, 0.994760)
5: (3.804226, 1.236068)
6: (3.719106, 1.472498)
7: (3.619308, 1.703117)
8: (3.505227, 1.927015)
9: (3.377312, 2.143307)
10: (3.236068, 2.351141)
11: (3.082053, 2.549696)
12: (2.915875, 2.738188)
13: (2.738188, 2.915875)
14: (2.549696, 3.082053)
15: (2.351141, 3.236068)
16: (2.143307, 3.377312)
17: (1.927015, 3.505227)
18: (1.703117, 3.619308)
19: (1.472498, 3.719106)
20: (1.236068, 3.804226)
21: (0.994760, 3.874333)
22: (0.749525, 3.929149)
23: (0.501333, 3.968459)
24: (0.251162, 3.992107)
25: (0.000000, 4.000000)
26: (-0.251162, 3.992107)
27: (-0.501333, 3.968459)
28: (-0.749525, 3.929149)
29: (-0.994760, 3.874333)
30: (-1.236068, 3.804226)
31: (-1.472498, 3.719106)
32: (-1.703117, 3.619308)
33: (-1.927015, 3.505227)
34: (-2.143307, 3.377312)
35: (-2.351141, 3.236068)
36: (-2.549696, 3.082053)
37: (-2.738188, 2.915875)
38: (-2.915875, 2.738188)
39: (-3.082053, 2.549696)
40: (-3.236068, 2.351141)
41: (-3.377312, 2.143307)
42: (-3.505227, 1.927015)
43: (-3.619308, 1.703117)
44: (-3.719106, 1.472498)
45: (-3.804226, 1.236068)
46: (-3.874333, 0.994760)
47: (-3.929149, 0.749525)
48: (-3.968459, 0.501333)
49: (-3.992107, 0.251162)
50: (-4.000000, 0.000000)
51: (-3.992107, -0.251162)
52: (-3.968459, -0.501333)
53: (-3.929149, -0.749525)
54: (-3.874333, -0.994760)
55: (-3.804226, -1.236068)
56: (-3.719106, -1.472498)
57: (-3.619308, -1.703117)
58: (-3.505227, -1.927015)
59: (-3.377312, -2.143307)
60: (-3.236068, -2.351141)
61: (-3.082053, -2.549696)
62: (-2.915875, -2.738188)
63: (-2.738188, -2.915875)
64: (-2.549696, -3.082053)
65: (-2.351141, -3.236068)
66: (-2.143307, -3.377312)
67: (-1.927015, -3.505227)
68: (-1.703117, -3.619308)
69: (-1.472498, -3.719106)
70: (-1.236068, -3.804226)
71: (-0.994760, -3.874333)
72: (-0.749525, -3.929149)
73: (-0.501333, -3.968459)
74: (-0.251162, -3.992107)
75: (-0.000000, -4.000000)
76: (0.251162, -3.992107)
77: (0.501333, -3.968459)
78: (0.749525, -3.929149)
79: (0.994760, -3.874333)
80: (1.236068, -3.804226)
81: (1.472498, -3.719106)
82: (1.703117, -3.619308)
83: (1.927015, -3.505227)
84: (2.143307, -3.377312)
85: (2.351141, -3.236068)
86: (2.549696, -3.082053)
87: (2.738188, -2.915875)
88: (2.915875, -2.738188)
89: (3.082053, -2.549696)
90: (3.236068, -2.351141)
91: (3.377312, -2.143307)
92: (3.505227, -1.927015)
93: (3.619308, -1.703117)
94: (3.719106, -1.472498)
95: (3.804226, -1.236068)
96: (3.874333, -0.994760)
97: (3.929149, -0.749525)
98: (3.968459, -0.501333)
99: (3.992107, -0.251162)
