0: (8.000000, 0.000000)
1: (7.748665, 1.989519)
2: (7.010453, 3.854029)
3: (5.831749, 5.476377)
4: (4.286614, 6.754623)
5: (2.472136, 7.608452)
6: (0.502324, 7.984214)
7: (-1.499051, 7.858298)
8: (-3.406234, 7.238616)
9: (-5.099392, 6.164106)
10: (-6.472136, 4.702282)
11: (-7.438212, 2.944996)
12: (-7.936918, 1.002666)
13: (-7.936918, -1.002666)
14: (-7.438212, -2.944996)
15: (-6.472136, -4.702282)
16: (-5.099392, -6.164106)
17: (-3.406234, -7.238616)
18: (-1.499051, -7.858298)
19: (0.502324, -7.984214)
20: (2.472136, -7.608452)
21: (4.286614, -6.754623)
22: (5.831749, -5.476377)
23: (7.010453, -3.854029)
24: (7.748665, -1.989519)
25: (3.874333, 0.994760)
26: (3.505227, 1.927015)
27: (2.915875, 2.738188)
28: (2.143307, 3.377312)
29: (1.236068, 3.804226)
30: (0.251162, 3.992107)
31: (-0.749525, 3.929149)
32: (-1.703117, 3.619308)
33: (-2.549696, 3.082053)
34: (-3.236068, 2.351141)
35: (-3.719106, 1.472498)
36: (-3.968459, 0.501333)
37: (-3.968459, -0.501333)
38: (-3.719106, -1.472498)
39: (-3.236068, -2.351141)
40: (-2.549696, -3.082053)
41: (-1.703117, -3.619308)
42: (-0.749525, -3.929149)
43: (0.251162, -3.992107)
44: (1.236068, -3.804226)
45: (2.143307, -3.377312)
46: (2.915875, -2.738188)
47: (3.505227, -1.927015)
48: (3.874333, -0.994760)
49: (4.000000, -0.000000)
