0: (4.000000, 0.000000)
1: (3.992107, 0.125581)
2: (3.968459, 0.250666)
3: (3.929149, 0.374763)
4: (3.874333, 0.497380)
5: (3.804226, 0.618034)
6: (3.719106, 0.736249)
7: (3.619308, 0.851559)
8: (3.505227, 0.963507)
9: (3.377312, 1.071654)
10: (3.236068, 1.175571)
11: (3.082053, 1.274848)
12: (2.915875, 1.369094)
13: (2.738188, 1.457937)
14: (2.549696, 1.541026)
15: (2.351141, 1.618034)
16: (2.143307, 1.688656)
17: (1.927015, 1.752613)
18: (1.703117, 1.809654)
19: (1.472498, 1.859553)
20: (1.236068, 1.902113)
21: (0.994760, 1.937166)
22: (0.749525, 1.964575)
23: (0.501333, 1.984229)
24: (0.251162, 1.996053)
25: (0.000000, 2.000000)
26: (-0.251162, 1.996053)
27: (-0.501333, 1.984229)
28: (-0.749525, 1.964575)
29: (-0.994760, 1.937166)
30: (-1.236068, 1.902113)
31: (-1.472498, 1.859553)
32: (-1.703117, 1.809654)
33: (-1.927015, 1.752613)
34: (-2.143307, 1.688656)
35: (-2.351141, 1.618034)
36: (-2.549696, 1.541026)
37: (-2.738188, 1.457937)
38: (-2.915875, 1.369094)
39: (-3.082053, 1.274848)
40: (-3.236068, 1.175571)
41: (-3.377312, 1.071654)
42: (-3.505227, 0.963507)
43: (-3.619308, 0.851559)
44: (-3.719106, 0.736249)
45: (-3.804226, 0.618034)
46: (-3.874333, 0.497380)
47: (-3.929149, 0.374763)
48: (-3.968459, 0.250666)
49: (-3.992107, 0.125581)
50: (-4.000000, 0.000000)
51: (-3.992107, -0.125581)
52: (-3.968459, -0.250666)
53: (-3.929149, -0.374763)
54: (-3.874333, -0.497380)
55: (-3.804226, -0.618034)
56: (-3.719106, -0.736249)
57: (-3.619308, -0.851559)
58: (-3.505227, -0.963507)
59: (-3.377312, -1.071654)
60: (-3.236068, -1.175571)
61: (-3.082053, -1.274848)
62: (-2.915875, -1.369094)
63: (-2.738188, -1.457937)
64: (-2.549696, -1.541026)
65: (-2.351141, -1.618034)
66: (-2.143307, -1.688656)
67: (-1.927015, -1.752613)
68: (-1.703117, -1.809654)
69: (-1.472498, -1.859553)
70: (-1.236068, -1.902113)
71: (-0.994760, -1.937166)
72: (-0.749525, -1.964575)
73: (-0.501333, -1.984229)
74: (-0.251162, -1.996053)
75: (-0.000000, -2.000000)
76: (0.251162, -1.996053)
77: (0.501333, -1.984229)
78: (0.749525, -1.964575)
79: (0.994760, -1.937166)
80: (1.236068, -1.902113)
81: (1.472498, -1.859553)
82: (1.703117, -1.809654)
83: (1.927015, -1.752613)
84: (2.143307, -1.688656)
85: (2.351141, -1.618034)
86: (2.549696, -1.541026)
87: (2.738188, -1.457937)
88: (2.915875, -1.369094)
89: (3.082053, -1.274848)
90: (3.236068, -1.175571)
91: (3.377312, -1.071654)
92: (3.505227, -0.963507)
93: (3.619308, -0.851559)
94: (3.719106, -0.736249)
95: (3.804226, -0.618034)
96: (3.874333, -0.497380)
97: (3.929149, -0.374763)
98: (3.968459, -0.250666)
99: (3.992107, -0.125581)
