0: (1.000000, 0.000000)
1: (0.949180, 0.019403)
2: (0.802638, 0.073669)
3: (0.577374, 0.151595)
4: (0.299309, 0.236518)
5: (0.000000, 0.309017)
6: (-0.287317, 0.350107)
7: (-0.531844, 0.344463)
8: (-0.708947, 0.283168)
9: (-0.803004, 0.165580)
10: (-0.809017, 0.000000)
11: (-0.732802, -0.196975)
12: (-0.589748, -0.402367)
13: (-0.402367, -0.589748)
14: (-0.196975, -0.732802)
15: (-0.000000, -0.809017)
16: (0.165580, -0.803004)
17: (0.283168, -0.708947)
18: (0.344463, -0.531844)
19: (0.350107, -0.287317)
20: (0.309017, -0.000000)
21: (0.236518, 0.299309)
22: (0.151595, 0.577374)
23: (0.073669, 0.802638)
24: (0.019403, 0.949180)
25: (0.000000, 1.000000)
26: (0.019403, 0.949180)
27: (0.073669, 0.802638)
28: (0.151595, 0.577374)
29: (0.236518, 0.299309)
30: (0.309017, 0.000000)
31: (0.350107, -0.287317)
