0: (0.000000, 0.000000)
1: (0.007878, 0.000496)
2: (0.031292, 0.003953)
3: (0.069596, 0.013276)
4: (0.121719, 0.031252)
5: (0.186192, 0.060497)
6: (0.261169, 0.103404)
7: (0.344460, 0.162091)
8: (0.433573, 0.238359)
9: (0.525753, 0.333653)
10: (0.618034, 0.449028)
11: (0.707290, 0.585121)
12: (0.790293, 0.742135)
13: (0.863769, 0.919821)
14: (0.924459, 1.117478)
15: (0.969175, 1.333955)
16: (0.994866, 1.567658)
17: (0.998668, 1.816571)
18: (0.977965, 2.078282)
19: (0.930435, 2.350012)
20: (0.854102, 2.628656)
21: (0.747373, 2.910825)
22: (0.609078, 3.192900)
23: (0.438499, 3.471079)
24: (0.235391, 3.741440)
25: (0.000000, 4.000000)
26: (-0.266933, 4.242773)
27: (-0.564167, 4.465839)
28: (-0.889972, 4.665398)
29: (-1.242146, 4.837840)
30: (-1.618034, 4.979797)
31: (-2.014561, 5.088200)
32: (-2.428269, 5.160335)
33: (-2.855361, 5.193883)
34: (-3.291749, 5.186966)
35: (-3.733107, 5.138181)
36: (-4.174933, 5.046627)
37: (-4.612607, 4.911928)
38: (-5.041456, 4.734242)
39: (-5.456816, 4.514270)
40: (-5.854102, 4.253254)
41: (-6.228870, 3.952961)
42: (-6.576880, 3.615671)
43: (-6.894156, 3.244144)
44: (-7.177043, 2.841592)
45: (-7.422260, 2.411638)
46: (-7.626946, 1.958267)
47: (-7.788702, 1.485774)
48: (-7.905625, 0.998713)
49: (-7.976336, 0.501829)
50: (-8.000000, 0.000000)
51: (-7.976336, -0.501829)
52: (-7.905625, -0.998713)
53: (-7.788702, -1.485774)
54: (-7.626946, -1.958267)
55: (-7.422260, -2.411638)
56: (-7.177043, -2.841592)
57: (-6.894156, -3.244144)
58: (-6.576880, -3.615671)
59: (-6.228870, -3.952961)
60: (-5.854102, -4.253254)
61: (-5.456816, -4.514270)
62: (-5.041456, -4.734242)
63: (-4.612607, -4.911928)
64: (-4.174933, -5.046627)
65: (-3.733107, -5.138181)
66: (-3.291749, -5.186966)
67: (-2.855361, -5.193883)
68: (-2.428269, -5.160335)
69: (-2.014561, -5.088200)
70: (-1.618034, -4.979797)
71: (-1.242146, -4.837840)
72: (-0.889972, -4.665398)
73: (-0.564167, -4.465839)
74: (-0.266933, -4.242773)
75: (-0.000000, -4.000000)
76: (0.235391, -3.741440)
77: (0.438499, -3.471079)
78: (0.609078, -3.192900)
79: (0.747373, -2.910825)
80: (0.854102, -2.628656)
81: (0.930435, -2.350012)
82: (0.977965, -2.078282)
83: (0.998668, -1.816571)
84: (0.994866, -1.567658)
85: (0.969175, -1.333955)
86: (0.924459, -1.117478)
87: (0.863769, -0.919821)
88: (0.790293, -0.742135)
89: (0.707290, -0.585121)
90: (0.618034, -0.449028)
91: (0.525753, -0.333653)
92: (0.433573, -0.238359)
93: (0.344460, -0.162091)
94: (0.261169, -0.103404)
95: (0.186192, -0.060497)
96: (0.121719, -0.031252)
97: (0.069596, -0.013276)
98: (0.031292, -0.003953)
99: (0.007878, -0.000496)
