0: (16.000000, 0.000000)
1: (15.767947, 3.136440)
2: (15.063377, 6.239455)
3: (13.864025, 9.263646)
4: (12.142136, 12.142136)
5: (9.876772, 14.781633)
6: (7.067882, 17.063377)
7: (3.749566, 18.850339)
8: (0.000000, 20.000000)
9: (-4.054047, 20.381072)
10: (-8.239455, 19.891804)
11: (-12.346038, 18.477151)
12: (-16.142136, 16.142136)
13: (-19.394759, 12.959164)
14: (-21.891804, 9.067882)
15: (-23.463465, 4.667173)
16: (-24.000000, 0.000000)
17: (-23.463465, -4.667173)
18: (-21.891804, -9.067882)
19: (-19.394759, -12.959164)
20: (-16.142136, -16.142136)
21: (-12.346038, -18.477151)
22: (-8.239455, -19.891804)
23: (-4.054047, -20.381072)
24: (-0.000000, -20.000000)
25: (3.749566, -18.850339)
26: (7.067882, -17.063377)
27: (9.876772, -14.781633)
28: (12.142136, -12.142136)
29: (13.864025, -9.263646)
30: (15.063377, -6.239455)
31: (15.767947, -3.136440)
