0: (8.000000, 0.000000)
1: (7.984214, 0.502324)
2: (7.936918, 1.002666)
3: (7.858298, 1.499051)
4: (7.748665, 1.989519)
5: (7.608452, 2.472136)
6: (7.438212, 2.944996)
7: (7.238616, 3.406234)
8: (7.010453, 3.854029)
9: (6.754623, 4.286614)
10: (6.472136, 4.702282)
11: (6.164106, 5.099392)
12: (5.831749, 5.476377)
13: (5.476377, 5.831749)
14: (5.099392, 6.164106)
15: (4.702282, 6.472136)
16: (4.286614, 6.754623)
17: (3.854029, 7.010453)
18: (3.406234, 7.238616)
19: (2.944996, 7.438212)
20: (2.472136, 7.608452)
21: (1.989519, 7.748665)
22: (1.499051, 7.858298)
23: (1.002666, 7.936918)
24: (0.502324, 7.984214)
25: (0.000000, 8.000000)
26: (-0.502324, 7.984214)
27: (-1.002666, 7.936918)
28: (-1.499051, 7.858298)
29: (-1.989519, 7.748665)
30: (-2.472136, 7.608452)
31: (-2.944996, 7.438212)
32: (-3.406234, 7.238616)
33: (-3.854029, 7.010453)
34: (-4.286614, 6.754623)
35: (-4.702282, 6.472136)
36: (-5.099392, 6.164106)
37: (-5.476377, 5.831749)
38: (-5.831749, 5.476377)
39: (-6.164106, 5.099392)
40: (-6.472136, 4.702282)
41: (-6.754623, 4.286614)
42: (-7.010453, 3.854029)
43: (-7.238616, 3.406234)
44: (-7.438212, 2.944996)
45: (-7.608452, 2.472136)
46: (-7.748665, 1.989519)
47: (-7.858298, 1.499051)
48: (-7.936918, 1.002666)
49: (-7.984214, 0.502324)
50: (-8.000000, 0.000000)
51: (-7.984214, -0.502324)
52: (-7.936918, -1.002666)
53: (-7.858298, -1.499051)
54: (-7.748665, -1.989519)
55: (-7.608452, -2.472136)
56: (-7.438212, -2.944996)
57: (-7.238616, -3.406234)
58: (-7.010453, -3.854029)
59: (-6.754623, -4.286614)
60: (-6.472136, -4.702282)
61: (-6.164106, -5.099392)
62: (-5.831749, -5.476377)
63: (-5.476377, -5.831749)
64: (-5.099392, -6.164106)
65: (-4.702282, -6.472136)
66: (-4.286614, -6.754623)
67: (-3.854029, -7.010453)
68: (-3.406234, -7.238616)
69: (-2.944996, -7.438212)
70: (-2.472136, -7.608452)
