0: (4.000000, 0.000000)
1: (3.978088, 0.209057)
2: (3.912590, 0.415823)
3: (3.804226, 0.618034)
4: (3.654182, 0.813473)
5: (3.464102, 1.000000)
6: (3.236068, 1.175571)
7: (2.972579, 1.338261)
8: (2.676522, 1.486290)
9: (2.351141, 1.618034)
10: (2.000000, 1.732051)
11: (1.626947, 1.827091)
12: (1.236068, 1.902113)
13: (0.831647, 1.956295)
14: (0.418114, 1.989044)
15: (0.000000, 2.000000)
16: (-0.418114, 1.989044)
17: (-0.831647, 1.956295)
18: (-1.236068, 1.902113)
19: (-1.626947, 1.827091)
20: (-2.000000, 1.732051)
21: (-2.351141, 1.618034)
22: (-2.676522, 1.486290)
23: (-2.972579, 1.338261)
24: (-3.236068, 1.175571)
25: (-3.464102, 1.000000)
26: (-3.654182, 0.813473)
27: (-3.804226, 0.618034)
28: (-3.912590, 0.415823)
29: (-3.978088, 0.209057)
30: (-4.000000, 0.000000)
31: (-3.978088, -0.209057)
32: (-3.912590, -0.415823)
33: (-3.804226, -0.618034)
34: (-3.654182, -0.813473)
35: (-3.464102, -1.000000)
36: (-3.236068, -1.175571)
37: (-2.972579, -1.338261)
38: (-2.676522, -1.486290)
39: (-2.351141, -1.618034)
40: (-2.000000, -1.732051)
41: (-1.626947, -1.827091)
42: (-1.236068, -1.902113)
43: (-0.831647, -1.956295)
44: (-0.418114, -1.989044)
45: (-0.000000, -2.000000)
46: (0.418114, -1.989044)
47: (0.831647, -1.956295)
48: (1.236068, -1.902113)
49: (1.626947, -1.827091)
50: (2.000000, -1.732051)
51: (2.351141, -1.618034)
52: (2.676522, -1.486290)
53: (2.972579, -1.338261)
54: (3.236068, -1.175571)
55: (3.464102, -1.000000)
56: (3.654182, -0.813473)
57: (3.804226, -0.618034)
58: (3.912590, -0.415823)
59: (3.978088, -0.209057)
