0: (-2.000000, -4.000000)
1: (-1.800000, -3.800000)
2: (-1.600000, -3.600000)
3: (-1.400000, -3.400000)
4: (-1.200000, -3.200000)
5: (-1.000000, -3.000000)
6: (-0.800000, -2.800000)
7: (-0.600000, -2.600000)
8: (-0.400000, -2.400000)
9: (-0.200000, -2.200000)
10: (-0.000000, -2.000000)
11: (0.200000, -1.800000)
12: (0.400000, -1.600000)
13: (0.600000, -1.400000)
14: (0.800000, -1.200000)
15: (1.000000, -1.000000)
16: (1.200000, -0.800000)
17: (1.400000, -0.600000)
18: (1.600000, -0.400000)
19: (1.800000, -0.200000)
20: (-2.000000, 4.000000)
21: (-1.800000, 3.800000)
22: (-1.600000, 3.600000)
23: (-1.400000, 3.400000)
24: (-1.200000, 3.200000)
25: (-1.000000, 3.000000)
26: (-0.800000, 2.800000)
27: (-0.600000, 2.600000)
28: (-0.400000, 2.400000)
29: (-0.200000, 2.200000)
30: (-0.000000, 2.000000)
31: (0.200000, 1.800000)
32: (0.400000, 1.600000)
33: (0.600000, 1.400000)
34: (0.800000, 1.200000)
35: (1.000000, 1.000000)
36: (1.200000, 0.800000)
37: (1.400000, 0.600000)
38: (1.600000, 0.400000)
39: (1.800000, 0.200000)
40: (2.000000, 0.000000)
41: (-2.000000, -3.600000)
42: (-2.000000, -3.200000)
43: (-2.000000, -2.800000)
44: (-2.000000, -2.400000)
45: (-2.000000, -2.000000)
46: (-2.000000, -1.600000)
47: (-2.000000, -1.200000)
48: (-2.000000, -0.800000)
49: (-2.000000, -0.400000)
50: (-2.000000, -0.000000)
51: (-2.000000, 0.400000)
52: (-2.000000, 0.800000)
53: (-2.000000, 1.200000)
54: (-2.000000, 1.600000)
55: (-2.000000, 2.000000)
56: (-2.000000, 2.400000)
57: (-2.000000, 2.800000)
58: (-2.000000, 3.200000)
59: (-2.000000, 3.600000)
