0: (10.000000, -6.000000)
1: (9.999684, -5.949736)
2: (9.998737, -5.899480)
3: (9.997158, -5.849239)
4: (9.994948, -5.799023)
5: (9.992107, -5.748838)
6: (9.988636, -5.698693)
7: (9.984534, -5.648595)
8: (9.979804, -5.598553)
9: (9.974445, -5.548574)
10: (9.968459, -5.498667)
11: (9.961846, -5.448839)
12: (9.954607, -5.399098)
13: (9.946744, -5.349451)
14: (9.938257, -5.299908)
15: (9.929149, -5.250475)
16: (9.919420, -5.201160)
17: (9.909072, -5.151972)
18: (9.898107, -5.102917)
19: (9.886527, -5.054004)
20: (9.874333, -5.005240)
21: (9.861527, -4.956634)
22: (9.848111, -4.908192)
23: (9.834087, -4.859923)
24: (9.819458, -4.811834)
25: (9.804226, -4.763932)
26: (9.788393, -4.716226)
27: (9.771962, -4.668722)
28: (9.754935, -4.621428)
29: (9.737316, -4.574352)
30: (9.719106, -4.527502)
31: (9.700309, -4.480884)
32: (9.680927, -4.434505)
33: (9.660965, -4.388374)
34: (9.640424, -4.342498)
35: (9.619308, -4.296883)
36: (9.597621, -4.251537)
37: (9.575366, -4.206467)
38: (9.552546, -4.161681)
39: (9.529165, -4.117184)
40: (9.505227, -4.072985)
41: (9.480735, -4.029091)
42: (9.455694, -3.985507)
43: (9.430107, -3.942242)
44: (9.403978, -3.899301)
45: (9.377312, -3.856693)
46: (9.350112, -3.814423)
47: (9.322384, -3.772498)
48: (9.294130, -3.730924)
49: (9.265357, -3.689709)
50: (9.236068, -3.648859)
51: (9.206268, -3.608380)
52: (9.175962, -3.568279)
53: (9.145154, -3.528562)
54: (9.113849, -3.489235)
55: (9.082053, -3.450304)
56: (9.049770, -3.411776)
57: (9.017006, -3.373657)
58: (8.983765, -3.335953)
59: (8.950052, -3.298669)
60: (8.915875, -3.261812)
61: (8.881236, -3.225387)
62: (8.846143, -3.189400)
63: (8.810600, -3.153857)
64: (8.774613, -3.118764)
65: (8.738188, -3.084125)
66: (8.701331, -3.049948)
67: (8.664047, -3.016235)
68: (8.626343, -2.982994)
69: (8.588224, -2.950230)
70: (8.549696, -2.917947)
71: (8.510765, -2.886151)
72: (8.471438, -2.854846)
73: (8.431721, -2.824038)
74: (8.391620, -2.793732)
75: (8.351141, -2.763932)
76: (8.310291, -2.734643)
77: (8.269076, -2.705870)
78: (8.227502, -2.677616)
79: (8.185577, -2.649888)
80: (8.143307, -2.622688)
81: (8.100699, -2.596022)
82: (8.057758, -2.569893)
83: (8.014493, -2.544306)
84: (7.970909, -2.519265)
85: (7.927015, -2.494773)
86: (7.882816, -2.470835)
87: (7.838319, -2.447454)
88: (7.793533, -2.424634)
89: (7.748463, -2.402379)
90: (7.703117, -2.380692)
91: (7.657502, -2.359576)
92: (7.611626, -2.339035)
93: (7.565495, -2.319073)
94: (7.519116, -2.299691)
95: (7.472498, -2.280894)
96: (7.425648, -2.262684)
97: (7.378572, -2.245065)
98: (7.331278, -2.228038)
99: (7.283774, -2.211607)
100: (7.236068, -2.195774)
101: (7.188166, -2.180542)
102: (7.140077, -2.165913)
103: (7.091808, -2.151889)
104: (7.043366, -2.138473)
105: (6.994760, -2.125667)
106: (6.945996, -2.113473)
107: (6.897083, -2.101893)
108: (6.848028, -2.090928)
109: (6.798840, -2.080580)
110: (6.749525, -2.070851)
111: (6.700092, -2.061743)
112: (6.650549, -2.053256)
113: (6.600902, -2.045393)
114: (6.551161, -2.038154)
115: (6.501333, -2.031541)
116: (6.451426, -2.025555)
117: (6.401447, -2.020196)
118: (6.351405, -2.015466)
119: (6.301307, -2.011364)
120: (6.251162, -2.007893)
