0: (-2.000000, -4.000000)
1: (-1.878788, -3.878788)
2: (-1.757576, -3.757576)
3: (-1.636364, -3.636364)
4: (-1.515152, -3.515152)
5: (-1.393939, -3.393939)
6: (-1.272727, -3.272727)
7: (-1.151515, -3.151515)
8: (-1.030303, -3.030303)
9: (-0.909091, -2.909091)
10: (-0.787879, -2.787879)
11: (-0.666667, -2.666667)
12: (-0.545455, -2.545455)
13: (-0.424242, -2.424242)
14: (-0.303030, -2.303030)
15: (-0.181818, -2.181818)
16: (-0.060606, -2.060606)
17: (0.060606, -1.939394)
18: (0.181818, -1.818182)
19: (0.303030, -1.696970)
20: (0.424242, -1.575758)
21: (0.545455, -1.454545)
22: (0.666667, -1.333333)
23: (0.787879, -1.212121)
24: (0.909091, -1.090909)
25: (1.030303, -0.969697)
26: (1.151515, -0.848485)
27: (1.272727, -0.727273)
28: (1.393939, -0.606061)
29: (1.515152, -0.484848)
30: (1.636364, -0.363636)
31: (1.757576, -0.242424)
32: (1.878788, -0.121212)
33: (-2.000000, 4.000000)
34: (-1.878788, 3.878788)
35: (-1.757576, 3.757576)
36: (-1.636364, 3.636364)
37: (-1.515152, 3.515152)
38: (-1.393939, 3.393939)
39: (-1.272727, 3.272727)
40: (-1.151515, 3.151515)
41: (-1.030303, 3.030303)
42: (-0.909091, 2.909091)
43: (-0.787879, 2.787879)
44: (-0.666667, 2.666667)
45: (-0.545455, 2.545455)
46: (-0.424242, 2.424242)
47: (-0.303030, 2.303030)
48: (-0.181818, 2.181818)
49: (-0.060606, 2.060606)
50: (0.060606, 1.939394)
51: (0.181818, 1.818182)
52: (0.303030, 1.696970)
53: (0.424242, 1.575758)
54: (0.545455, 1.454545)
55: (0.666667, 1.333333)
56: (0.787879, 1.212121)
57: (0.909091, 1.090909)
58: (1.030303, 0.969697)
59: (1.151515, 0.848485)
60: (1.272727, 0.727273)
61: (1.393939, 0.606061)
62: (1.515152, 0.484848)
63: (1.636364, 0.363636)
64: (1.757576, 0.242424)
65: (1.878788, 0.121212)
66: (2.000000, 0.000000)
67: (-2.000000, -3.757576)
68: (-2.000000, -3.522282)
69: (-2.000000, -3.286988)
70: (-2.000000, -3.051693)
71: (-2.000000, -2.816399)
72: (-2.000000, -2.581105)
73: (-2.000000, -2.345811)
74: (-2.000000, -2.110517)
75: (-2.000000, -1.875223)
76: (-2.000000, -1.639929)
77: (-2.000000, -1.404635)
78: (-2.000000, -1.169340)
79: (-2.000000, -0.934046)
80: (-2.000000, -0.698752)
81: (-2.000000, -0.463458)
82: (-2.000000, -0.228164)
83: (-2.000000, 0.007130)
84: (-2.000000, 0.242424)
85: (-2.000000, 0.477718)
86: (-2.000000, 0.713012)
87: (-2.000000, 0.948307)
88: (-2.000000, 1.183601)
89: (-2.000000, 1.418895)
90: (-2.000000, 1.654189)
91: (-2.000000, 1.889483)
92: (-2.000000, 2.124777)
93: (-2.000000, 2.360071)
94: (-2.000000, 2.595365)
95: (-2.000000, 2.830660)
96: (-2.000000, 3.065954)
97: (-2.000000, 3.301248)
98: (-2.000000, 3.536542)
99: (-2.000000, 3.771836)
