0: (12.000000, -6.000000)
1: (11.811499, -4.507861)
2: (11.257840, -3.109478)
3: (10.373812, -1.892717)
4: (9.214961, -0.934032)
5: (7.854102, -0.293661)
6: (6.376743, -0.011840)
7: (4.875712, -0.106276)
8: (3.445324, -0.571038)
9: (2.175456, -1.376921)
10: (1.145898, -2.473288)
11: (0.421341, -3.791253)
12: (0.047312, -5.248001)
13: (0.047312, -6.751999)
14: (0.421341, -8.208747)
15: (1.145898, -9.526712)
16: (2.175456, -10.623079)
17: (3.445324, -11.428962)
18: (4.875712, -11.893724)
19: (6.376743, -11.988160)
20: (7.854102, -11.706339)
21: (9.214961, -11.065968)
22: (10.373812, -10.107283)
23: (11.257840, -8.890522)
24: (11.811499, -7.492139)
25: (0.000000, 6.000000)
26: (-0.188501, 7.492139)
27: (-0.742160, 8.890522)
28: (-1.626188, 10.107283)
29: (-2.785039, 11.065968)
30: (-4.145898, 11.706339)
31: (-5.623257, 11.988160)
32: (-7.124288, 11.893724)
33: (-8.554676, 11.428962)
34: (-9.824544, 10.623079)
35: (-10.854102, 9.526712)
36: (-11.578659, 8.208747)
37: (-11.952688, 6.751999)
38: (-11.952688, 5.248001)
39: (-11.578659, 3.791253)
40: (-10.854102, 2.473288)
41: (-9.824544, 1.376921)
42: (-8.554676, 0.571038)
43: (-7.124288, 0.106276)
44: (-5.623257, 0.011840)
45: (-4.145898, 0.293661)
46: (-2.785039, 0.934032)
47: (-1.626188, 1.892717)
48: (-0.742160, 3.109478)
49: (-0.188501, 4.507861)
